2168|172,157,154,152,168,48714,1924,9531,524,769|1598,1645,819,6280,13785,1541,8393,11934,402,902
729|47933,10193,863,96872,256835,213121,54825,130925,56828,180644|199,949,252,954,9099,687,63,9327,9802,9614
2883|71481,307087,11418,43743,158382,61532,69353,36663,51078,105593|2069,10322,10161,9504,244,925,1654,221,11176,11522
1|674,12445,675,672,671,673,12444,54138,49026,10138|238,58574,207,244786,745,70160,12444,272,10528,68718
3608|217,51302,54825,20785,87,89,96872,11899,1891,92000|4485,20540,9377,991,10518,1052,16820,32047,9873,19380
2169|56608,273807,313653,31606,1248,9533,1359,13313,115241,40012|9331,278,2164,8963,581,9804,628,13,414,812
1445|10193,863,330,256835,18908,9922,200,331,213121,54825|408,11780,197,9273,954,9587,3049,9306,858,2054
730|8856,33633,4995,8052,81700,246133,9469,41823,183859,39053|346,8656,36647,4327,4995,846,180,783,235,1578
2|200,201,193,1891,1892,174,172,45266,14148,84465|954,11010,1701,451,1637,9327,9623,602,2064,1892
2884|2295,87233,217,140,10912,11953,82545,818,862,11368|11545,35196,4518,4995,240,13533,409,3033,37853,31503
1447|49026,272,37472,365222,13127,28943,40012,505,10664,81541|1562,680,8358,274,141,7737,281957,9955,497,76341
2170|9869,11520,1891,4806,9489,351964,27576,1892,50463,76297|10534,954,11860,2928,10502,11543,278,63,788,14534
1448|767,672,671,673,12445,675,12444,10528,47626,20891|672,46195,1865,767,673,65754,350,83542,75656,671
1449|9326,10705,24264,249,77118,148077,11971,9031,9710,9838|16448,9905,37094,859,11446,12560,10223,530,14283,702
731|1891,63105,29946,277399,9533,1248,1359,31606,20065,1892|2064,954,20156,37233,275,9802,9359,9386,568,949
4|672,767,2295,862,87233,674,675,12445,673,2978|2024,817,12212,96,242,1018,1907,9032,565,3050
2171|608,155,36003,32047,863,10193,28943,8487,41154,96872|274,44264,155,680,393,19995,424,68718,107,1487
1450|8856,13252,34299,9631,134890,1649,13572,94204,10495,15552|8536,10890,36819,1103,10714,12665,2907,11639,8843,819
2172|603,1893,1895,100783,324668,13931,104,2501,96872,62211|601,13969,808,168,1909,1271,24197,14534,11590,1125
